epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=True)32",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
47,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.005971670150756836,3745.015380859375,0.99984,0.78536,0.0,0.0029036998748779297,3987.055419921875,0.99984,0.79168,0.0,0.79188,0.8341017961502075,0.8104,1.4176197052001953,0.0,0.0,0.0,0
48,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99744081893794,6.0,6.0,6.0,6.0,6.0,11.99744081893794,12.0,12.0,3.7550926208496094e-06,3583.75146484375,0.99968,0.79068,0.0,0.021559298038482666,3902.095458984375,0.99968,0.79452,0.0,0.7966,2.577932834625244,0.81592,2.2163785099983215,0.0,0.0,0.0,0
49,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,8.344650268554688e-06,3468.089111328125,0.99968,0.79304,0.0,3.2186508178710938e-06,4331.54052734375,0.99944,0.77712,0.0,0.7898,0.9997876286506653,0.81536,1.0410278737545013,0.0,0.0,0.0,0
50,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,1.5914440155029297e-05,3613.06689453125,0.99984,0.7942,0.0,8.243322372436523e-05,4404.53076171875,0.99976,0.78852,0.0,0.7986,2.130225658416748,0.8146,3.959969639778137,0.0,0.0,0.0,0
51,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,9.053945541381836e-05,3634.6181640625,0.99992,0.79116,0.0,1.1861324310302734e-05,3844.837890625,0.99984,0.8028,0.0,0.79964,0.14943812787532806,0.81932,0.4144871234893799,0.0,0.0,0.0,0
52,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,7.343292236328125e-05,3652.4599609375,0.99936,0.79104,0.0,2.2470951080322266e-05,4021.57568359375,0.99976,0.78976,0.0,0.79348,0.18539924919605255,0.81524,0.493913009762764,0.0,0.0,0.0,0
53,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,8.276104927062988e-05,4079.89453125,0.99984,0.78152,0.0,8.52346420288086e-06,4071.0771484375,0.9996,0.79904,0.0,0.8012,0.9692703485488892,0.81504,2.161167800426483,0.0,0.0,0.0,0
54,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.0001392364501953125,3660.5224609375,0.99976,0.78868,0.0,5.900859832763672e-05,5133.90185546875,0.99992,0.77656,0.0,0.79836,0.019041970372200012,0.81012,0.016692064702510834,0.0,0.0,0.0,0
55,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,0.0013916194438934326,3651.123291015625,1.0,0.78836,0.0,1.4722347259521484e-05,4276.46533203125,0.99976,0.79796,0.0,0.7982,1.9537874460220337,0.8152,1.9508218467235565,0.0,0.0,0.0,0
56,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.00022789835929870605,3758.004638671875,0.99976,0.7926,0.0,4.649162292480469e-06,4726.9208984375,0.99976,0.78044,0.0,0.80192,1.749106764793396,0.81232,1.7868846654891968,0.0,0.0,0.0,0
